voltage,time
0.013,0.009479522705078125
0.039,0.1145172119140625
0.077,0.21939396858215332
0.09,0.3243398666381836
0.129,0.4292259216308594
0.18,0.5340967178344727
0.193,0.6391184329986572
0.219,0.7441189289093018
0.258,0.8491160869598389
0.309,0.9541151523590088
0.322,1.0591456890106201
0.387,1.1641948223114014
0.387,1.2692334651947021
0.4,1.374314546585083
0.4,1.4794034957885742
0.503,1.5844504833221436
0.503,1.6895606517791748
0.554,1.7946159839630127
0.58,1.899655818939209
0.58,2.0047502517700195
0.619,2.1099469661712646
0.657,2.2149970531463623
0.696,2.3200840950012207
0.722,2.4251487255096436
0.735,2.5302441120147705
0.773,2.635374069213867
0.786,2.740450143814087
0.812,2.845540761947632
0.812,2.9505813121795654
0.812,3.0556256771087646
0.812,3.160734176635742
0.915,3.265770673751831
0.928,3.370805263519287
0.941,3.4758388996124268
0.993,3.580932378768921
0.993,3.685978651046753
1.018,3.791020393371582
1.018,3.8962676525115967
1.083,4.001409530639648
1.109,4.1064605712890625
1.134,4.21156644821167
1.134,4.316715955734253
1.173,4.421799182891846
1.237,4.5269551277160645
1.237,4.632019281387329
1.237,4.737078905105591
1.237,4.842189788818359
1.276,4.947323560714722
1.276,5.0524866580963135
1.315,5.157714366912842
1.328,5.262726783752441
1.354,5.367605447769165
1.379,5.472473621368408
1.405,5.577357769012451
1.444,5.682232141494751
1.65,5.787107467651367
1.444,5.892261981964111
1.65,5.997349262237549
1.65,6.102437734603882
1.65,6.207494735717773
1.65,6.312558650970459
1.65,6.417669296264648
1.65,6.522735595703125
1.65,6.627832651138306
1.65,6.732927322387695
1.65,6.838016748428345
1.65,6.943163156509399
1.65,7.048224687576294
1.663,7.153261661529541
1.689,7.258302211761475
1.689,7.363371849060059
1.689,7.468464612960815
1.727,7.573562383651733
1.74,7.678639888763428
1.74,7.783679485321045
1.766,7.888878583908081
1.779,7.994033098220825
1.805,8.099210262298584
1.818,8.204252481460571
1.818,8.309342861175537
1.843,8.414453744888306
1.843,8.519538402557373
1.882,8.624627351760864
1.869,8.729796886444092
1.895,8.834846019744873
1.895,8.939920902252197
1.959,9.044812202453613
1.946,9.149684429168701
1.959,9.25458550453186
1.972,9.359475374221802
1.985,9.464351415634155
1.998,9.56927227973938
2.024,9.674158334732056
2.024,9.779344081878662
2.037,9.884446382522583
2.05,9.98956298828125
2.05,10.09470510482788
2.05,10.199797630310059
2.05,10.304910898208618
2.05,10.410013914108276
2.101,10.515126466751099
2.101,10.62021803855896
2.101,10.725313425064087
2.14,10.830439567565918
2.14,10.93544888496399
2.153,11.040504693984985
2.179,11.145605325698853
2.179,11.250674962997437
2.179,11.355716228485107
2.217,11.46087121963501
2.23,11.565933465957642
2.243,11.671020030975342
2.269,11.776081323623657
2.269,11.881206750869751
2.269,11.986301898956299
2.269,12.09139609336853
2.269,12.196511507034302
2.295,12.301555633544922
2.282,12.40666651725769
2.307,12.511770009994507
2.32,12.616823673248291
2.333,12.721901893615723
2.475,12.826942682266235
2.475,12.93197774887085
2.475,13.037082195281982
2.475,13.142165422439575
2.475,13.24720811843872
2.475,13.352255582809448
2.475,13.457424879074097
2.475,13.562482357025146
2.475,13.667529106140137
2.475,13.772627830505371
2.475,13.877774238586426
2.475,13.982675552368164
2.475,14.087563276290894
2.475,14.192427158355713
2.475,14.297309875488281
2.475,14.402194023132324
2.475,14.507066249847412
2.475,14.611968994140625
2.475,14.71712350845337
2.488,14.822219848632812
2.501,14.927268266677856
2.514,15.032374143600464
2.514,15.137420654296875
2.514,15.24250054359436
2.552,15.347699403762817
2.539,15.452815532684326
2.539,15.55789566040039
2.552,15.66297197341919
2.565,15.768061637878418
2.565,15.873131275177002
2.565,15.978285074234009
2.591,16.083351612091064
2.565,16.18842053413391
2.591,16.293511152267456
2.617,16.398553371429443
2.591,16.503634691238403
2.63,16.60870885848999
2.63,16.71378779411316
2.63,16.8187575340271
2.643,16.923845052719116
2.655,17.029008388519287
2.643,17.13409948348999
2.643,17.23914122581482
2.668,17.344242572784424
2.668,17.449331760406494
2.668,17.554418325424194
2.681,17.659534692764282
2.668,17.76447319984436
2.681,17.869391441345215
2.694,17.97427225112915
2.694,18.079161882400513
2.72,18.18405294418335
2.72,18.288946628570557
2.707,18.393822193145752
2.707,18.499022483825684
2.746,18.60404133796692
2.72,18.70912456512451
2.72,18.814215421676636
2.72,18.91929817199707
2.746,19.024211406707764
2.784,19.129097938537598
2.771,19.23397421836853
2.784,19.33887791633606
2.759,19.4437575340271
2.771,19.548640966415405
2.784,19.653509855270386
2.771,19.758675575256348
2.784,19.86378574371338
2.797,19.968816995620728
2.797,20.07400941848755
2.887,20.179085731506348
2.887,20.284162282943726
2.823,20.389277458190918
2.887,20.49437141418457
2.887,20.599432468414307
2.887,20.70447301864624
2.887,20.80956196784973
2.887,20.914714574813843
2.887,21.0197536945343
2.887,21.124847173690796
2.887,21.22991943359375
2.887,21.335030555725098
2.887,21.44009256362915
2.887,21.54522156715393
2.887,21.650315284729004
2.887,21.75540852546692
2.887,21.86049246788025
2.887,21.965599536895752
2.887,22.070667505264282
2.887,22.17571449279785
2.887,22.28081727027893
2.887,22.38591980934143
2.887,22.491015195846558
2.887,22.59611415863037
2.887,22.701210021972656
2.887,22.806333541870117
2.9,22.911412477493286
2.9,23.016456127166748
2.9,23.121672868728638
2.9,23.226727962493896
2.9,23.33186149597168
2.9,23.43693780899048
2.926,23.54202175140381
2.926,23.647127866744995
2.913,23.752172470092773
2.926,23.857347011566162
2.913,23.962536334991455
2.939,24.067586421966553
